season	episode	clip	text	label
S05	E14	212	oh, god, yeah, i totally forgot. sorry.	Apologise
S05	E07	526	don't worry. i'm not gonna squirt anyone.	Comfort
S05	E19	547	this guy's driving away all my business, and you know how?	Criticize
S05	E13	144	what's--what's going on friday?	Care
S06	E01	216	we're also required to wear masks.	Inform
S05	E13	89	um, it's the display for the new zephra products.	Introduce
S05	E14	200	you go. get ready.	Arrange
S04	E05	269	oh, it's so clean and comfortable.	Praise
S05	E13	258	okay, thank you, cheyenne.	Thank
S06	E06	99	what kind of symptoms have you been having?	Care
S04	E05	251	women have been birthing for thousands of years in all kinds of disgusting places.	Complain
S04	E11	450	i got clipped by a kia on the highway, amy!	Complain
S05	E10	92	thank you.	Thank
S05	E08	226	i just want you to know that if you donate inside, you get a $5 gift card instead of nothing.	Inform
S05	E16	358	why don't you buy the dryer balls?	Advise
S05	E18	508	mateo, set up the obstacle course.	Arrange
S04	E04	87	dina! what do i do? should i jump the railing?	Ask for help
S05	E17	239	seems like people would rather die than eat that stuff.	Taunt
S05	E17	539	jerry.	Greet
S05	E09	519	i think i'm gonna head out.	Leave
S06	E05	237	i'm sorry. your hair looks fun.	Apologise
S06	E08	118	why did this happen? am i a bad person?	Complain
S05	E08	414	the point is that this guy is a jerk	Criticize
S05	E12	330	oh, dad, this is my boss, amy. show her your belt buckle.	Introduce
S06	E05	350	i'm sick of looking at it. it's going on the list.	Complain
S05	E12	441	i am really proud of the woman you've become.	Praise
S04	E10	375	there's, like, eight of us, that's more of a walk.	Complain
S04	E09	16	i'm sorry, are you okay?	Care
S06	E01	459	what happened here?	Care
S04	E16	48	easter is upon us.	Inform
S05	E15	409	well, sounds like you got a lot going on	Care
S05	E08	462	great, that's awesome.	Praise
S05	E14	504	yeah, the internet has gotten so bad.	Complain
S04	E12	446	yeah, why don't you go stew in softlines?	Advise
S05	E16	352	hello?	Greet
S05	E11	548	now get back to work.	Arrange
S05	E09	584	sure.	Agree
S05	E13	388	who cares? who cares? don't worry about it.	Comfort
S04	E14	334	you're the most qualified person here, so...	Praise
S05	E15	346	your holiday numbers were outstanding	Praise
S05	E20	424	i didn't mean to upset you or kelci	Apologise
S05	E07	381	means you're fired.	Inform
S06	E05	12	effective immediately, cloud 9 will no longer keep black haircare products in locked cases.	Inform
S05	E09	273	what i need from the two of you is less of this	Taunt
S05	E17	264	i'm one of the smartest people in the store.	Flaunt
S04	E04	407	let's meet our first contestant, marcus white!	Inform
S05	E09	90	um, oh, uh, mateo, this is my brother eric.	Introduce
S04	E09	298	the freezer's full.	Inform
S05	E10	116	how's jonah doing out there? crushing it?	Care
S05	E08	239	molly, hand these out, please.	Arrange
S04	E05	13	but only call if it is a true emergency like a fire, or a big storm, or a robbery, okay?	Inform
S05	E09	91	hey. nice lab coat.	Praise
S06	E07	325	kelly, this is wonderful.	Praise
S05	E16	575	well, i'm gonna go do something else then.	Leave
S04	E17	359	you're emma's hero, amy.	Praise
S06	E02	252	it wasn't- it wasn't that.	Oppose
S05	E13	253	hey.	Greet
S05	E11	505	oh, that's so sweet.	Praise
S06	E02	503	how's the search going?	Care
S05	E08	195	oh, sorry.	Apologise
S06	E09	527	havarti, great cheese on a sandwich	Introduce
S04	E05	102	would you be able to go to my apartment and get this camisole?	Ask for help
S04	E12	337	game of thrones  season one	Introduce
S06	E09	250	no, that's my nephew. he's my lock screen.	Introduce
S06	E06	23	like, super annoying for me.	Complain
S05	E17	447	i'll go figure out how to not send them away empty-handed.	Leave
S04	E16	8	spring frozen yogurt flavors, check.	Inform
S05	E18	332	you guys, don't clap for that.	Prevent
S05	E16	244	oh, i would do anything for some crack right now.	Complain
S06	E10	420	because the ducklings were having a tea party	Introduce
S05	E13	450	you have diabetes. you aren't even in control	Criticize
S05	E16	346	wow, first you mute me, then you kill a child.	Criticize
S06	E03	308	thank you, marcus.	Thank
S05	E20	106	nice to meet you.	Leave
S04	E01	77	these are all excellent ideas, thank you.	Praise
S05	E12	181	and i just wanted to tell you that dina... passed away.	Inform
S05	E18	189	lifesaver.	Thank
S05	E14	289	this place has line dancing at 10:00	Inform
S05	E08	463	stop it, i can tell you don't believe it.	Prevent
S05	E18	321	just--come on, jonah. please do the voice.	Ask for help
S05	E15	258	kira moon from zephra will be  surprising  us	Inform
S06	E09	163	she's got less brains--	Taunt
S04	E09	236	you even found some i didn't notice.	Praise
S05	E09	213	he has a cutie patootie. we're all good-looking.	Flaunt
S05	E20	30	it was just sitting on her shoulder like a parrot--look.	Introduce
S05	E16	102	you should really change that back, dina.	Advise
S04	E17	434	i actually just bought some stock in a drone company.	Inform
S04	E16	331	the, uh, easter decorations all look really great.	Praise
S04	E01	204	no! it's messed up.	Complain
S06	E05	509	you're just as bad as glenn.	Criticize
S05	E13	319	oh, please. sandra, take it down.	Arrange
S06	E03	458	glenn gave me ultimate executive power.	Flaunt
S05	E16	333	we're a little delayed because amy was busy mean-girling me.	Criticize
S05	E07	426	for a very special parade.	Inform
S04	E16	521	see you at glenn's show.	Leave
S05	E06	15	on whatever dumb metaphor his costume's supposed to be.	Taunt
S06	E02	478	well, it's still very cool.	Praise
S05	E15	455	it's unprofessional!	Complain
S05	E10	86	oh, so good to meet you in person.	Greet
S04	E07	427	you're fired.	Inform
S06	E07	355	guys, i'm gonna be a little busy around 2:00 p.m. don't even ask me what i'm doing. it's private.	Flaunt
S06	E01	21	so i'm still gonna be working with you guys.	Inform
S05	E15	20	i knew from before. i knew, like, two hours ago.	Flaunt
S05	E12	360	hey, buddy.	Greet
S04	E06	390	unfortunately, the last spot has been filled.	Inform
S05	E18	259	yes.	Agree
S05	E20	283	i left all my felt tips uncapped in the security office,and those are just gonna be drying out like crazy,so i just need to go.	Leave
S04	E06	37	i'm just exhausted and sore and hormonal	Complain
S05	E20	491	i'm really sorry.	Apologise
S05	E08	61	this week, enjoy 20% off	Inform
S05	E12	497	i attended multiple father-daughter dances alone, and when i was 16, everyone made fun of me	Complain
S05	E07	304	if you help me out and all goes well	Ask for help
S06	E04	486	so i say turn every golf course into a solar farm.	Advise
S05	E07	442	okay, i can't do this anymore.	Complain
S05	E15	535	you lied about mental distress?	Criticize
S06	E10	280	oh, no, i hate to hear that.	Complain
S04	E16	222	he's the disciple that betrayed jesus.	Criticize
S05	E07	6	i already have enough trouble	Complain
S05	E09	198	he seems super cool.	Praise
S04	E05	491	yeah. thank you.	Thank
S05	E08	340	thank you so much. ooh, $5 gift card.	Thank
S04	E14	19	and guys, i say this a lot,but we really need to wet down those raccoon droppings before we sweep.	Inform
S05	E17	237	so i keep this cabinet full of healthy snacks for everyone.	Introduce
S05	E13	15	um, and jonah and justine, you get to help out tomorrow when the rest of the shipment comes in.	Arrange
S04	E17	493	ow! what the hell, cheyenne?	Criticize
S05	E02	372	oh, jerry, no one's gonna notice if you're not there.	Taunt
S05	E20	265	glenn, you smell scared. what's up?	Care
S05	E17	219	yeah, actually, it would be really helpful	Praise
S06	E07	206	i'm sorry.	Apologise
S05	E13	74	this is so unfair.	Complain
S05	E09	264	i am so sorry.	Apologise
S04	E01	416	but you're making it pretty tough.	Criticize
S04	E14	423	uh, total, i'd say you're looking at $18,000 for repairs.	Inform
S05	E14	367	because to me, this room sucks.	Complain
S05	E08	335	no, i'm not gonna admit that	Oppose
S06	E08	598	seriously, garrett, this is gonna be awesome.	Praise
S05	E08	282	thank you for your donation.	Thank
S05	E16	482	my birds flew away.	Complain
S05	E08	148	yep, they gotta go.	Leave
S04	E02	202	you're a good friend.	Praise
S05	E19	288	i'm gonna go get some takis.	Leave
S05	E11	367	it has recently come to my attention that there are some men in the store who have some issues	Inform
S05	E07	556	turt-turt, we're out of here.	Leave
S05	E18	257	yes, like a parlor.	Agree
S05	E15	94	classy move, zephra.	Praise
S06	E10	454	i have been nervously holding my pee for six hours	Complain
S06	E01	340	agh! sorry, guys.	Apologise
S06	E04	503	oh, i'm sorry, jonah.	Apologise
S05	E02	145	it's not on the list!	Oppose
S05	E09	305	but the morning rush was insane	Complain
S05	E12	81	aww. yeah, maybe you should reconnect before it's too late.	Advise
S05	E08	150	hi.	Greet
S05	E12	462	oh, come on. damn it.	Complain
S04	E07	96	i do not like small talk, and i hate smiling all day like an idiot.	Complain
S04	E08	392	we get all this free stuff	Flaunt
S04	E02	187	oh, i don't see how that could possibly be true.	Complain
S05	E19	502	can you get me a salami sandwich?	Ask for help
S06	E04	443	thank you, marcus.	Thank
S05	E17	468	you're gorgeous really, for your cohort.	Praise
S06	E04	251	attention cloud 9 employees, this is your manager.	Inform
S05	E08	182	i shouldn't have to leave because you're a bad manager.	Taunt
S05	E07	161	listen up, scrodes.	Inform
S04	E08	91	the point is, sayid, you're home now.	Inform
S05	E06	229	thank you.	Thank
S05	E11	279	oh, hey, guys.	Greet
S06	E03	12	why don't we all lead the meeting together?	Advise
S05	E18	37	okay, cheyenne, sandra, you're serving	Arrange
S05	E08	17	hi, i'm mateo liwanag	Introduce
S05	E09	518	took some doing, but these are solid.	Introduce
S05	E21	272	oh! radical.	Praise
S04	E02	343	thank you so much for including me.	Thank
S06	E03	67	i mean, dusty mint stinks.	Complain
S05	E18	278	okay, this has gotta stop.	Prevent
S05	E12	217	it's best to just pretend you've passed out, okay?	Advise
S05	E19	225	sandra, don't touch it.	Prevent
S04	E04	484	thanks. i like yours, too.	Thank
S05	E07	200	laptops are for customers.	Inform
S06	E02	113	thanks!	Thank
S05	E14	186	don't forget to sign the guestbook.	Inform
S05	E16	212	maybe you should just mute her.	Advise
S06	E02	36	okay, we're gonna be in this meeting forever	Inform
S04	E02	300	no worries, i'm out of here.	Leave
S04	E13	290	this card has a frog and a bear kissing each other.	Introduce
S05	E14	70	oh, hey, glenn.	Greet
S05	E09	431	maybe you should give them some space.	Advise
S05	E13	80	that's crazy. you can't do that.	Prevent
S04	E13	33	cute teddy bears are 15% off.	Inform
S04	E08	137	okay, here are your lanyards and your room keys.	Inform
S05	E17	574	you should go find justine.	Advise
S05	E15	300	what's going on?	Care
S05	E12	86	hey, glenn, how you holding up?	Care
S05	E10	458	oh, that does sound nice.	Praise
S05	E17	386	how's the interview going?	Care
S05	E08	229	you stole my mark?	Criticize
S06	E02	320	well, i'm sure you'll figure something out.	Comfort
S05	E17	95	oh, hey, glenn.	Greet
S05	E09	344	thank you.	Thank
S05	E11	249	liar.	Criticize
S05	E07	333	green beans are now the normal price.	Inform
S06	E02	434	shh, guys, best part!	Praise
S05	E21	459	hey, mateo, can i ask you something	Ask for help
S06	E05	280	oh, whoa! no, no, no! don't actually scoot in.	Prevent
S05	E09	223	he was cute, sure, but, okay	Praise
S05	E07	543	alex, could you--thank you.	Ask for help
S04	E03	103	what if we made her employee of the month this month?	Advise
S05	E10	66	we doing a dystopian nightmare christmas this year?	Joke
S05	E10	91	really, it's amazing work that you're doing.	Praise
S04	E01	93	you can just stick it in the... in the p-photo lab.	Arrange
S05	E17	202	thank you. that's very nice of you.	Thank
S06	E04	434	your manager is listening.	Inform
S05	E11	338	yes! thank you so much.	Thank
S06	E01	426	yes, i'm so sorry.	Apologise
S06	E07	601	you were a great roommate.	Praise
S05	E13	498	okay, well, how about weekends off?	Advise
S04	E02	302	all right, well, i'll see y'all later.	Leave
S05	E15	283	oh, thank god.	Leave
S05	E07	153	attention employees. uh, listen up.	Inform
S06	E01	20	the whole job is being a liaison to cloud 9	Inform
S05	E14	380	but you're going to be fine.	Comfort
S05	E15	499	well, it was nice catching up. sandra, let's go.	Leave
S05	E10	44	while i waste my talents in the vision center.	Complain
S04	E09	139	god, you're a fast learner.	Praise
S04	E10	351	harrison, stop burping into the intercom.	Prevent
S04	E01	42	or you guys can just use your phones for all that stuff.	Inform
S05	E19	278	i'm gonna stop you right there.	Prevent
S05	E07	345	okay.	Agree
S05	E10	164	ooh, amy, how's union stuff going?	Care
S05	E06	16	uh, actually, i got tired of explaining	Complain
S05	E10	3	here, to remind you.	Inform
S04	E13	300	can't you just cover it up?	Advise
S05	E20	299	i'm mateo, by the way. i'm sure you've heard of me.	Introduce
S06	E10	285	look, all you guys have to do is go in there	Arrange
S04	E01	493	dina! it went great!	Praise
S04	E03	119	oh! absolutely. without a doubt.	Agree
S04	E01	290	hey, man, this guy shreds ass!	Criticize
S05	E07	82	i'm sorry, i don't know what that was.	Apologise
S04	E10	72	but people were really judge-y.	Complain
S05	E07	592	no, no. you're obviously a great manager.	Praise
S05	E08	126	you can donate to our toy drive.	Advise
S05	E13	383	a chunk of my hair fell out, and i will not be bald for my wedding!	Complain
S05	E17	207	he's her brother.	Introduce
S05	E14	54	oh, okay. no worries.	Comfort
S05	E16	272	you know, the service around here is spotty.	Complain
S04	E16	261	you have got to stop watching this.	Prevent
S05	E09	470	oh, what do you see now?	Care
S05	E06	415	the cowboy hat was itchy.	Complain
S05	E19	170	i'll move her into seasonals with justine.	Arrange
S05	E15	454	i think ellen degeneres dances too much!	Complain
S06	E03	33	we need someone to replace me as floor supervisor.	Inform
S05	E12	547	yeah, don't worry.	Comfort
S06	E07	426	zephra can eat our ass meat.	Joke
S04	E03	388	how am i supposed to work checkout?	Complain
S05	E09	474	why don't you put on the headset	Advise
S05	E09	252	i haven't even been able to go on instagram.	Complain
S05	E20	474	mom is crushed because you cheated on her.	Criticize
S05	E08	520	well, technically, you can suck it!	Criticize
S05	E16	484	i can't even remember the last time i had a boyfriend.	Complain
S06	E06	44	anyway, dina, don't worry about it.	Comfort
S05	E07	289	it's been two hours of this.	Complain
S05	E21	240	really fresh perspective.	Praise
S04	E07	536	now we're...announcing it.	Inform
S04	E08	205	you don't know how to wrap a gift.	Criticize
S04	E08	43	i'm sorry, the tickets are non-transferable.	Inform
S05	E02	21	the old lady who spits at her on the bus?	Joke
S06	E03	218	we're having an election.	Inform
S04	E03	181	oh, don't make this about sexism.	Prevent
